Plot ID ,Province ,Forest class ,X ,Y ,AGB ,BGB 
426,Xiengkhouang ,MD ,103.9004274,19.15518649,324.05,77.77
428,Xaisomboun ,MD ,102.8676417,18.94981675,93.18,18.64
429,Xaisomboun ,MD ,102.8307508,18.88262754,107.44,21.49
430,Bolikhamxai ,EG ,104.1743132,18.82986949,372.53,89.41
431,Bolikhamxai ,EG ,104.1014463,18.63273752,245.91,59.02
433,Bolikhamxai ,MD ,103.9015794,18.60460098,266.92,64.06
435,Bolikhamxai ,MD ,104.3734648,18.62635114,118.87,23.77
436,Xaisomboun ,MD ,103.2575859,18.54780051,202.82,48.68
437,Xaisomboun ,MD ,103.3978084,18.56092016,219.05,52.57
438,Bolikhamxai ,EG ,105.0089033,18.56274951,328.08,78.74
440,Bolikhamxai ,MD ,104.0187643,18.40489091,156.5,37.56
441,Bolikhamxai ,EG ,104.404272,18.40969567,423.33,101.6
442,Bolikhamxai ,MD ,104.4763029,18.34277866,212.7,51.05
443,Bolikhamxai ,EG ,104.5279446,18.28891202,407.07,97.7
444,Bolikhamxai ,EG ,104.5482074,18.22653797,401.38,96.33
445,Bolikhamxai ,MD ,104.3079433,18.17685801,176.62,42.39
446,Khammouan ,EG ,104.5948532,18.19454122,567.89,136.29
447,Khammouan ,EG ,105.1575967,18.06468111,437.17,104.92
448,Khammouan ,EG ,105.2175815,18.01720806,277.67,66.64
449,Khammouan ,EG ,105.1995838,17.93789372,193.97,46.55
450,Khammouan ,EG ,105.1772702,17.90903101,423.89,101.73
451,Khammouan ,EG ,105.2382828,17.90603184,262.53,63.01
457,Champasak ,MD ,105.6329807,14.99279796,67.35,13.47
459,Champasak ,MD ,105.9778235,14.71749397,167.12,40.11
460,Champasak ,MD ,106.0552614,14.71758035,141.02,33.84
461,Phongsaly ,MD ,102.8580526,21.59532672,134.38,32.25
462,Phongsaly ,MD ,102.7945781,21.48514528,126.07,30.26
463,Phongsaly ,MD ,101.8753185,21.32653226,172.45,41.39
464,Oudomxai ,MD ,101.8103282,21.02838948,207.55,49.81
465,Louangnamtha ,MD ,101.0407283,20.91420347,237.4,56.98
466,Louangnamtha ,MD ,100.6628012,20.87231018,164.4,39.46
467,Oudomxai ,MD ,102.0254179,20.8707752,86.61,17.32
469,Houaphan ,MD ,104.0441498,20.7592158,88.82,17.76
471,Houaphan ,MD ,104.3180927,20.67555066,216.3,51.91
472,Louangnamtha ,MD ,101.1514415,20.59967118,212.7,51.05
473,Louangnamtha ,MD ,101.2411216,20.59052572,233.98,56.16
475,Bokeo ,MD ,100.9534962,20.16725795,160.09,38.42
476,Bokeo ,MD ,100.6876234,20.15904759,137.51,33
477,Louangphabang ,MD ,102.5428764,20.11793035,90.47,18.09
478,Oudomxai ,MD ,101.5483517,20.05059307,108.49,21.7
479,Houaphan ,CF ,103.8333135,20.19881768,98.79,31.61
480,Houaphan ,MCB ,103.8919303,20.18452435,66.21,13.24
482,Salavan ,DD ,105.9708331,15.74070684,96.76,19.35
483,Salavan ,MD ,106.011648,15.77824017,206.05,49.45
484,Champasak ,MD ,106.4674608,15.25085174,178.4,42.81
486,Champasak ,MD ,106.5682315,15.20385215,132.26,31.74
487,Champasak ,MD ,106.0574967,14.73688664,112.09,22.42
488,Champasak ,MD ,105.9504454,14.70617639,96.95,19.39
490,Champasak ,MD ,106.160818,14.61703896,192.31,46.15
492,Houaphan ,MD ,103.3833683,20.3633989,152.52,36.61
493,Savannakhet ,MD ,106.161986,16.82843987,116.89,23.38
494,Savannakhet ,MD ,106.0607409,16.77038794,217.97,52.31
495,Savannakhet ,MD ,106.0501895,16.66751491,169.54,40.69
496,Savannakhet ,MD ,106.0305799,16.47173096,116.96,23.39
497,Savannakhet ,MD ,105.9908009,16.41687711,133.63,32.07
498,Savannakhet ,MD ,106.3650861,16.41217214,187.75,45.06
499,Khammouan ,EG ,105.7195633,17.606773,365.93,87.82
500,Khammouan ,EG ,105.7632382,17.61697336,342.53,82.21
501,Khammouan ,EG ,105.7682771,17.59038634,250.56,60.13
503,Khammouan ,EG ,106.0834943,17.14207786,289.14,69.39
504,Khammouan ,EG ,106.1666651,17.10276917,216.38,51.93
505,Xekong ,EG ,107.2551533,15.66570666,236.02,56.64
511,Xiengkhouang ,MD ,103.5933816,19.31303496,135.61,32.55
